Symbol;Name;MarketCap;IPOyear;Sector;industry
GNRX;VanEck Vectors Generic Drugs ETF;$3.27M;n/a;n/a;n/a
PPH;VanEck Vectors Pharmaceutical ETF;$268.23M;n/a;n/a;n/a
VWOB;Vanguard Emerging Markets Government Bond ETF;$1.01B;n/a;n/a;n/a
VNQI;Vanguard Global ex-U.S. Real Estate ETF;$4.65B;n/a;n/a;n/a
VGIT;Vanguard Intermediate -Term Government Bond ETF;$1.29B;n/a;n/a;n/a
VCIT;Vanguard Intermediate-Term Corporate Bond ETF;$15.94B;n/a;n/a;n/a
VIGI;Vanguard International Dividend Appreciation ETF;$488.05M;n/a;n/a;n/a
VYMI;Vanguard International High Dividend Yield ETF;$442.22M;n/a;n/a;n/a
VCLT;Vanguard Long-Term Corporate Bond ETF;$2.06B;n/a;n/a;n/a
VGLT;Vanguard Long-Term Government Bond ETF;$509.3M;n/a;n/a;n/a
VMBS;Vanguard Mortgage-Backed Securities ETF;$4.22B;n/a;n/a;n/a
VONE;Vanguard Russell 1000 ETF;$723.24M;n/a;n/a;n/a
VONG;Vanguard Russell 1000 Growth ETF;$1.26B;n/a;n/a;n/a
VONV;Vanguard Russell 1000 Value ETF;$1.13B;n/a;n/a;n/a
VTWO;Vanguard Russell 2000 ETF;$1.08B;n/a;n/a;n/a
VTWG;Vanguard Russell 2000 Growth ETF;$192.1M;n/a;n/a;n/a
VTWV;Vanguard Russell 2000 Value ETF;$167.07M;n/a;n/a;n/a
VTHR;Vanguard Russell 3000 ETF;$348.86M;n/a;n/a;n/a
VCSH;Vanguard Short-Term Corporate Bond ETF;$20.18B;n/a;n/a;n/a
VGSH;Vanguard Short-Term Government ETF;$1.66B;n/a;n/a;n/a
VTIP;Vanguard Short-Term Inflation-Protected Securities Index Fund;$3.75B;n/a;n/a;n/a
BNDX;Vanguard Total International Bond ETF;$7.79B;n/a;n/a;n/a
VXUS;Vanguard Total International Stock ETF;$8.99B;n/a;n/a;n/a
VEAC;Vantage Energy Acquisition Corp.;$673.44M;2017;Finance;Business Services
VEACU;Vantage Energy Acquisition Corp.;n/a;2017;Finance;Business Services
VEACW;Vantage Energy Acquisition Corp.;n/a;2017;Finance;Business Services
VREX;Varex Imaging Corporation;$1.06B;n/a;Capital Goods;Industrial Machinery/Components
